slug,provider,chain,dataSources,hasDashboard,availableApis,price,starred,actionButtons
algorand-metrics-dashboard-mainnet,Algorand,mainnet,"[""Transactions"",""Network Metrics"",""Active Addresses"",""Block Data"",""Performance Metrics""]",TRUE,"[""Real-time Metrics API"",""Network Status API""]",$0,FALSE,"[""[Dashboard](https://algorand.co/metrics)""]"
pera-mainnet,Pera,mainnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,"[""Search API"",""NFT API"",""Asset API""]",$0,FALSE,"[""[Dashboard](https://explorer.perawallet.app/)""]"
pera-testnet,Pera,testnet,"[""Transactions"",""Assets"",""NFT"",""Blocks"",""Network Activity""]",TRUE,"[""Search API"",""NFT API"",""Asset API""]",$0,FALSE,"[""[Dashboard](https://testnet.explorer.perawallet.app/)""]"
allo-mainnet,Allo,mainnet,"[""Transactions"",""Assets"",""Apps"",""Blocks"",""Accounts"",""NFDomains"",""TEAL Contracts""]",TRUE,"[""TEAL Inspector API"",""Account API"",""Asset API""]",$0,FALSE,"[""[Dashboard](https://metrics.allo.info/)""]"
asalytic-mainnet,Asalytic,mainnet,"[""Transactions"",""Asset Movement"",""Addresses"",""Blocks"",""Network Activity""]",TRUE,"[""Transactions API"",""Address API""]",$0,FALSE,"[""[Dashboard](https://www.asalytic.app/)""]"
cryptoquant-mainnet,!provider:cryptoquant,mainnet,,,,,,"[""[Dashboard](https://cryptoquant.com/asset/algo/summary)""]"
dappradar-mainnet,!provider:dappradar,mainnet,,,,,,"[""[Dashboard](https://dappradar.com/chain/algorand)""]"
coinexams-mainnet,CoinExams,mainnet,"[""Crypto Utility Metrics"",""Network Functionality"",""Token Utility Evaluation"",""Fees""]",TRUE,"[""Utility Scores API""]",$0,FALSE,"[""[Dashboard](https://coinexams.com/utility/algorand)""]"
nansen-mainnet,!provider:nansen,mainnet,,,,,,"[""[Dashboard](https://app.nansen.ai/token-god-mode?tokenAddress=ALGO&chain=hyperliquid&tab=transactions)""]"
defillama-mainnet,!provider:defillama,mainnet,,,,,,"[""[Dashboard](https://defillama.com/chain/Algorand)""]"
vestige-mainnet,Vestige,mainnet,"[""Assets"",""Tokens"",""DEX Liquidity Pools"",""Historical Price & Volume""]",TRUE,"[""DeFi Analytics API""]",$0,FALSE,"[""[Dashboard](https://vestige.fi/asset/0)""]"
cryptoslam-mainnet,Cryptoslam,mainnet,"[""NFT Sales Data"",""Transaction Volume"",""Number of NFT Owners"",""Upcoming Drops""]",TRUE,"[""NFT Sales Data API""]",$0,FALSE,"[""[Dashboard](https://www.cryptoslam.io/blockchains/algorand)""]"
messari-mainnet,!provider:messari,mainnet,,,,,,"[""[Dashboard](https://messari.io/project/algorand)""]"
