slug,provider,offer,actionButtons,chain,dataSources,hasDashboard,availableApis,price,planName,planType,starred,tag
blocknative-mainnet,Blocknative,,"[""[Dashboard](https://www.blocknative.com/)""]",mainnet,"[""OP Stack Batch Transactions"",""Blob Data"",""Ethereum Mempool Transactions""]",TRUE,"[""Batch Decoding API"",""Blob Archive API"",""Mempool Archive"",""Ethernow explorer""]",$0/Custom,,Tiered,FALSE,
blockworks-mainnet,,!offer:blockworks,"[""[Dashboard](https://blockworks.com/analytics/optimism)""]",mainnet,,,,,,,,
cryptoquant-mainnet-advanced-full-archive,,!offer:cryptoquant-advanced-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-advanced-recent-state,,!offer:cryptoquant-advanced-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-basic-full-archive,,!offer:cryptoquant-basic-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-basic-recent-state,,!offer:cryptoquant-basic-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-enterprise-full-archive,,!offer:cryptoquant-enterprise-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-enterprise-recent-state,,!offer:cryptoquant-enterprise-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-premium-full-archive,,!offer:cryptoquant-premium-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-premium-recent-state,,!offer:cryptoquant-premium-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-professional-full-archive,,!offer:cryptoquant-professional-full-archive,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
cryptoquant-mainnet-professional-recent-state,,!offer:cryptoquant-professional-recent-state,"[""[Dashboard](https://cryptoquant.com/asset/op/summary)""]",mainnet,,,,,,,,
dappradar-mainnet,,!offer:dappradar,"[""[Dashboard](https://dappradar.com/chain/optimism)""]",mainnet,,,,,,,,
defillama-mainnet,,!offer:defillama,"[""[Dashboard](https://defillama.com/chain/op-mainnet)""]",mainnet,,,,,,,,
dune-mainnet,,!offer:dune,"[""[Dashboard](https://dune.com/blockchains/optimism)""]",mainnet,,,,,,,,
glassnode-mainnet,,!offer:glassnode,"[""[Dashboard](https://studio.glassnode.com/dashboards/asset-overview?a=OP)""]",mainnet,,,,,,,,
growthepie-mainnet,,!offer:growthepie,"[""[Dashboard](https://www.growthepie.com/chains/optimism)""]",mainnet,,,,,,,,
l2beat-mainnet,,!offer:l2beat,"[""[Dashboard](https://l2beat.com/scaling/projects/op-mainnet)""]",mainnet,,,,,,,,
messari-mainnet,,!offer:messari,"[""[Dashboard](https://messari.io/project/optimism)""]",mainnet,,,,,,,,
nansen-mainnet,,!offer:nansen,"[""[Dashboard](https://app.nansen.ai/macro/overview?chain=optimism)""]",mainnet,,,,,,,,
op-analytics-mainnet,OP Analytics,,"[""[GitHub](https://github.com/ethereum-optimism/op-analytics)""]",mainnet,"[""Incentive Tracking"",""Helper Functions"",""Public Analysis""]",FALSE,"[""GitHub API""]",$0,,Free,FALSE,
tenderly-mainnet,Tenderly,,"[""[Dashboard](https://dashboard.tenderly.co/remy65/project/infrastructure)""]",mainnet,"[""Transaction Monitoring"",""Contract Events"",""Alerts"",""Simulation RPC"",""Web3 Actions"",""Wallet Monitoring""]",TRUE,"[""Alerts API"",""Web3 Actions API""]","$0/$45/$450/mo, Custom",,Tiered,FALSE,
